"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Abies × borisii-regis",4,2,0.5,NA
"Abies nebrodensis",1,1,1,"Critically Endangered"
"Acantholimon aegaeum",1,1,1,NA
"Acantholimon albanicum",1,1,1,NA
"Acer heldreichii",4,2,0.5,"Least Concern"
"Achillea abrotanoides",3,1,0.333333333333333,NA
"Achillea ageratifolia",4,1,0.25,NA
"Achillea alexandri-regis",1,1,1,NA
"Achillea aspleniifolia",8,1,0.125,NA
"Achillea chrysocoma",4,2,0.5,NA
"Achillea clusiana",6,1,0.166666666666667,NA
"Achillea fraasii",3,2,0.666666666666667,NA
"Achillea holosericea",4,1,0.25,NA
"Achillea lingulata",6,1,0.166666666666667,NA
"Achillea × obscura",3,2,0.666666666666667,NA
"Achillea occulta",1,1,1,NA
"Achillea ochroleuca",6,3,0.5,NA
"Achillea pindicola",2,1,0.5,NA
"Achillea pseudopectinata",4,1,0.25,NA
"Achillea × roseoalba",7,2,0.285714285714286,NA
"Achillea thracica",2,2,1,"Data Deficient"
"Achyrophorus rutea",1,1,1,NA
"Acis fabrei",1,1,1,"Vulnerable"
"Acis ionica",2,1,0.5,NA
"Acis nicaeensis",2,2,1,"Endangered"
"Acis valentina",1,1,1,"Endangered"
"Aconitum degenii",4,1,0.25,"Least Concern"
"Aconitum firmum",4,2,0.5,NA
"Aconitum lasiocarpum",4,2,0.5,"Near Threatened"
"Aconitum plicatum",3,1,0.333333333333333,NA
"Aconitum toxicum",2,1,0.5,NA
"Aconitum variegatum",14,1,0.0714285714285714,NA
"Actaea europaea",7,5,0.714285714285714,NA
"Adenocarpus ombriosus",1,1,1,"Endangered"
"Adonis distorta",1,1,1,"Data Deficient"
"Aeonium aizoon",1,1,1,NA
"Aeonium balsamiferum",1,1,1,"Vulnerable"
"Aeonium cuneatum",2,1,0.5,NA
"Aeonium dodrantale",1,1,1,NA
"Aeonium gomerense",1,1,1,"Endangered"
"Aeonium mascaense",1,1,1,NA
"Aeonium saundersii",1,1,1,"Vulnerable"
"Aeonium volkeri",1,1,1,NA
"Aethionema carlsbergii",1,1,1,NA
"Aethionema orbiculatum",1,1,1,NA
"Aethionema retsina",1,1,1,"Critically Endangered"
"Agrostis alpina",11,2,0.181818181818182,NA
"Agrostis barceloi",1,1,1,"Critically Endangered"
"Aichryson bituminosum",1,1,1,NA
"Aichryson brevipetalum",1,1,1,NA
"Aichryson porphyrogennetos",1,1,1,NA
"Aichryson tortuosum",1,1,1,NA
"Ajuga piskoi",3,2,0.666666666666667,NA
"Alchemilla achtarowii",1,1,1,NA
"Alchemilla albanica",1,1,1,NA
"Alchemilla asteroantha",2,1,0.5,NA
"Alchemilla austroitalica",1,1,1,NA
"Alchemilla bandericensis",2,1,0.5,NA
"Alchemilla catachnoa",3,2,0.666666666666667,NA
"Alchemilla fissa",12,2,0.166666666666667,NA
"Alchemilla fontqueri",1,1,1,NA
"Alchemilla indivisa",3,1,0.333333333333333,NA
"Alchemilla jumrukczalica",1,1,1,NA
"Alchemilla kerneri",1,1,1,NA
"Alchemilla lapeyrousii",3,1,0.333333333333333,NA
"Alchemilla maureri",1,1,1,NA
"Alchemilla oxyodonta",2,2,1,NA
"Alchemilla pentaphyllea",5,1,0.2,NA
"Alchemilla plicatula",4,1,0.25,NA
"Alchemilla reniformis",11,1,0.0909090909090909,NA
"Alchemilla semidivisa",1,1,1,NA
"Alchemilla splendens",5,1,0.2,NA
"Alchemilla suavis",2,1,0.5,NA
"Alchemilla transiens",5,1,0.2,NA
"Alkanna corcyrensis",2,1,0.5,NA
"Alkanna jordanovii",1,1,1,NA
"Alkanna lutea",4,2,0.5,NA
"Alkanna sandwithii",2,1,0.5,NA
