"Species","Redlist_cat","Threatened","Country"
"Abies borisii-regis","VU","yes","Albania"
"Acantholimon albanicum","EN","yes","Albania"
"Acer hyrcanum","EN","yes","Albania"
"Achillea clusiana","CR","yes","Albania"
"Achillea frasii","CR","yes","Albania"
"Achillea grandifolia","CR","yes","Albania"
"Acis ionica","CR","yes","Albania"
"Aconitum lamarckii","VU","yes","Albania"
"Adiantum capillus-veneris","VU","yes","Albania"
"Aesculus hippocastanum","CR","yes","Albania"
"Ajuga piskoi","EN","yes","Albania"
"Alchemilla albanica","EN","yes","Albania"
"Alchemilla catachnoa","EN","yes","Albania"
"Alkanna corcyrensis","VU","yes","Albania"
"Alkanna sandeithii","CR","yes","Albania"
"Allium meteoricum","EN","yes","Albania"
"Alyssum markgrafii","EN","yes","Albania"
"Alyssum smolikanum","EN","yes","Albania"
"Ammophila arenaria","EN","yes","Albania"
"Anacamptis morio subsp. caucasica","EN","yes","Albania"
"Aquilegia amaliae","CR","yes","Albania"
"Aquilegia dinarica","CR","yes","Albania"
"Arabis allioni","CR","yes","Albania"
"Arabis bryoides","CR","yes","Albania"
"Arabis scopoliana","CR","yes","Albania"
"Arabis serpillifolia","EN","yes","Albania"
"Arbutus andrachne","VU","yes","Albania"
"Arctostaphylos alpinus","VU","yes","Albania"
"Arenaria cretica","EN","yes","Albania"
"Arenaria serpentini","CR","yes","Albania"
"Aristolochia elongata","CR","yes","Albania"
"Aristolochia merxmuelleri","CR","yes","Albania"
"Aristolochia sempervirens","EN","yes","Albania"
"Asperula chlorantha","EN","yes","Albania"
"Aster albanicus subsp. paparistoi","EN","yes","Albania"
"Astragalus baldaccii","CR","yes","Albania"
"Asyneuma comosiforme","EN","yes","Albania"
"Athamantha densa","EN","yes","Albania"
"Athamantha macedonica","EN","yes","Albania"
"Athamantha turbith","EN","yes","Albania"
"Atropa bella-donna","CR","yes","Albania"
"Aubrieta intermedia","EN","yes","Albania"
"Baldellia ranunculoides","CR","yes","Albania"
"Barbarea balcana","EN","yes","Albania"
"Barbarea vulgaris","VU","yes","Albania"
"Bellevalia hyacinthoides","VU","yes","Albania"
"Berberis croatica","CR","yes","Albania"
"Betula pendula","CR","yes","Albania"
"Bornmuellera baldaccii","EN","yes","Albania"
"Brassica incana","VU","yes","Albania"
"Butomus umbellatus","VU","yes","Albania"
"Caldesia parnassifolia","VU","yes","Albania"
"Caltha palustris","VU","yes","Albania"
"Campanula albanica","EN","yes","Albania"
"Campanula haekinsiana","EN","yes","Albania"
"Capparis spinosa","VU","yes","Albania"
"Carduus cronicus","EN","yes","Albania"
"Carduus kerneri","EN","yes","Albania"
"Carduus micropterus","EN","yes","Albania"
"Carduus ramosissimus","EN","yes","Albania"
"Carex markgrafii","EN","yes","Albania"
"Celtis tourneforti","VU","yes","Albania"
"Centaurea candelabrum","EN","yes","Albania"
"Centaurea graeca","EN","yes","Albania"
"Centaurea grisebachii","EN","yes","Albania"
"Centaurea haynaldii","CR","yes","Albania"
"Centaurea kosanini","EN","yes","Albania"
"Centaurea pindicola","EN","yes","Albania"
"Centaurea prespana","EN","yes","Albania"
"Centaurea soskae","VU","yes","Albania"
"Centaurea vlachorum","CR","yes","Albania"
"Centaurea zuccariniana","VU","yes","Albania"
"Cephalaria pastricensis","EN","yes","Albania"
"Cerastium grandiflorum","EN","yes","Albania"
"Cerastium smolikanum","CR","yes","Albania"
"Chaerophyllum coloratum","EN","yes","Albania"
"Chaerophyllum heldreichii","VU","yes","Albania"
"Chamaecytisus tommasinii","EN","yes","Albania"
"Cirsium boujartii","EN","yes","Albania"
"Cirsium tymphaeum","EN","yes","Albania"
"Cistus albanicus","EN","yes","Albania"
"Cladium mariscus","VU","yes","Albania"
"Colchicum autumnale","EN","yes","Albania"
"Colchicum cupanii","EN","yes","Albania"
"Colchicum lingulatum","EN","yes","Albania"
"Colchicum pieperanum","EN","yes","Albania"
"Colchicum triphyllum","EN","yes","Albania"
"Conium maculatum","EN","yes","Albania"
"Convallaria majalis","CR","yes","Albania"
"Corylus colurna","EN","yes","Albania"
"Crepis albanica","VU","yes","Albania"
"Crepis bertiscea","VU","yes","Albania"
"Crepis geracioides","VU","yes","Albania"
"Crepis turcica","EN","yes","Albania"
"Crocus hadriaticus","CR","yes","Albania"
"Cupressus sempervirens","VU","yes","Albania"
"Cymbalaria microcalyx subsp. minor","CR","yes","Albania"
"Desmazeria marina","VU","yes","Albania"
"Dianthus viridescens","EN","yes","Albania"
"Dictamus albus","VU","yes","Albania"
"Dioscorea balcanica","EN","yes","Albania"
"Draba korabensis","EN","yes","Albania"
"Draba parnassica","EN","yes","Albania"
"Dracunculus vulgaris","EN","yes","Albania"
"Ephedra distachya","EN","yes","Albania"
"Erica multiflora","EN","yes","Albania"
"Erodium guicciardii","EN","yes","Albania"
"Wulfenia baldaccii","VU","yes","Albania"
"Wulfenia carinthiaca","VU","yes","Albania"
"Euphorbia heldreichii","EN","yes","Albania"
"Festucopsis serpentini","VU","yes","Albania"
"Forsythia europaea","VU","yes","Albania"
