"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Abies borisii-regis","VU","yes","Albania","Abies borisii-regis Mattf.",2685519,"Abies borisii-regis","Tracheophyta","species","ACCEPTED"
"Acantholimon albanicum","EN","yes","Albania","Acantholimon albanicum O.Schwarz & F.K.Mey.",4089114,"Acantholimon albanicum","Tracheophyta","species","ACCEPTED"
"Acer hyrcanum","EN","yes","Albania","Acer hyrcanum Fisch. & C.A.Mey.",7262979,"Acer hyrcanum","Tracheophyta","species","ACCEPTED"
"Achillea clusiana","CR","yes","Albania","Achillea clusiana Tausch",3120002,"Achillea clusiana","Tracheophyta","species","ACCEPTED"
"Achillea frasii","CR","yes","Albania","Achillea fraasii Sch.Bip.",3120317,"Achillea fraasii","Tracheophyta","species","ACCEPTED"
"Achillea grandifolia","CR","yes","Albania","Achillea grandifolia Friv.",3120279,"Achillea grandifolia","Tracheophyta","species","ACCEPTED"
"Acis ionica","CR","yes","Albania","Acis ionica Bareka, Kamari & Phitos",5326563,"Acis ionica","Tracheophyta","species","ACCEPTED"
"Aconitum lamarckii","VU","yes","Albania","Aconitum lamarckii Rchb.",3033675,"Aconitum lycoctonum","Tracheophyta","species","SYNONYM"
"Adiantum capillus-veneris","VU","yes","Albania","Adiantum capillus-veneris L.",2651816,"Adiantum capillus-veneris","Tracheophyta","species","ACCEPTED"
"Aesculus hippocastanum","CR","yes","Albania","Aesculus hippocastanum L.",3189815,"Aesculus hippocastanum","Tracheophyta","species","ACCEPTED"
"Ajuga piskoi","EN","yes","Albania","Ajuga piskoi Degen & Bald.",3886802,"Ajuga piskoi","Tracheophyta","species","ACCEPTED"
"Alchemilla albanica","EN","yes","Albania","Alchemilla albanica Rothm.",3027674,"Alchemilla albanica","Tracheophyta","species","ACCEPTED"
"Alchemilla catachnoa","EN","yes","Albania","Alchemilla catachnoa Rothm.",3027772,"Alchemilla catachnoa","Tracheophyta","species","ACCEPTED"
"Alkanna corcyrensis","VU","yes","Albania","Alkanna corcyrensis Hayek",5661268,"Alkanna corcyrensis","Tracheophyta","species","ACCEPTED"
"Alkanna sandeithii","CR","yes","Albania","Alkanna sandwithii Rech.fil.",5661107,"Alkanna sandwithii","Tracheophyta","species","ACCEPTED"
"Allium meteoricum","EN","yes","Albania","Allium meteoricum Heldr. & Hausskn. ex Halácsy",8245984,"Allium meteoricum","Tracheophyta","species","ACCEPTED"
"Alyssum markgrafii","EN","yes","Albania","Alyssum markgrafii O.E.Schulz ex Markgr.",3044839,"Alyssum markgrafii","Tracheophyta","species","ACCEPTED"
"Alyssum smolikanum","EN","yes","Albania","Alyssum smolikanum Nyár.",3045031,"Alyssum smolikanum","Tracheophyta","species","ACCEPTED"
"Ammophila arenaria","EN","yes","Albania","Ammophila arenaria (L.) Link",5289845,"Ammophila arenaria","Tracheophyta","species","ACCEPTED"
"Anacamptis morio subsp. caucasica","EN","yes","Albania","Anacamptis morio subsp. caucasica (K.Koch) H.Kretzschmar, Eccarius & H.Dietr.",2808565,"Anacamptis morio","Tracheophyta","subspecies","ACCEPTED"
"Aquilegia amaliae","CR","yes","Albania","Aquilegia amaliae Boiss.",7278109,"Aquilegia ottonis","Tracheophyta","species","SYNONYM"
"Aquilegia dinarica","CR","yes","Albania","Aquilegia dinarica Beck",3920903,"Aquilegia dinarica","Tracheophyta","species","ACCEPTED"
"Arabis allioni","CR","yes","Albania","Arabis allionii DC.",5374994,"Arabis allionii","Tracheophyta","species","ACCEPTED"
"Arabis bryoides","CR","yes","Albania","Arabis bryoides Boiss.",5374917,"Arabis bryoides","Tracheophyta","species","ACCEPTED"
"Arabis scopoliana","CR","yes","Albania","Arabis scopoliana Boiss.",5374899,"Arabis scopoliana","Tracheophyta","species","ACCEPTED"
"Arabis serpillifolia","EN","yes","Albania","Arabis serpyllifolia Vill.",5374894,"Arabis serpyllifolia","Tracheophyta","species","ACCEPTED"
"Arbutus andrachne","VU","yes","Albania","Arbutus andrachne L.",4170901,"Arbutus andrachne","Tracheophyta","species","ACCEPTED"
"Arctostaphylos alpinus","VU","yes","Albania","Arctostaphylos alpinus (L.) Spreng.",8317978,"Arctostaphylos alpinus","Tracheophyta","species","ACCEPTED"
"Arenaria cretica","EN","yes","Albania","Arenaria cretica Spreng.",5586782,"Arenaria cretica","Tracheophyta","species","ACCEPTED"
"Arenaria serpentini","CR","yes","Albania","Arenaria serpentini A.K.Jacks.",7859136,"Arenaria conferta","Tracheophyta","species","SYNONYM"
"Aristolochia elongata","CR","yes","Albania","Aristolochia elongata (Duchartre) E.Nardi",9711634,"Aristolochia nardiana","Tracheophyta","species","SYNONYM"
