species,species_powo
Abies borisii-regis,Abies × borisii-regis
Arctostaphylos alpinus,Arctous alpina
Atropa belladonna,Atropa bella-donna
Cirsium boujartii,Cirsium boujarti
Haplophyllum boissieranum,Haplophyllum boissierianum
Onosma stellulatum,Onosma stellulata
Rhamnus intermedia,Rhamnus × intermedia
Viola raunsiensis,Viola × raunsiensis
Achillea obscura,Achillea × obscura
Achillea roseoalba,Achillea × roseoalba
Bidens cernuus,Bidens cernua
Carex hartmanii,Carex hartmaniorum
Crambe tataria,Crambe tatarica
Drosera obovata,Drosera × obovata
Pilosella bifurca,Pilosella rothiana
Juncus gerardii,Juncus gerardi
Knautia norica,Knautia × norica
Thrincia saxatilis,Leontodon crispus
Diphasiastrum issleri,Diphasiastrum × issleri
Diphasiastrum zeilleri,Lycopodium × zeilleri
Nasturtium sterile,Nasturtium × sterile
Onosma arenarium,Onosma arenaria
Prunus eminens,Prunus × eminens
Micranthes hieracifolia,Micranthes hieraciifolia
Pseudopodospermum hispanicum,Scorzonera hispanica
Taraxacum bessarabicum,Taraxacum besarabicum
Taraxacum mazzetii,Taraxacum mazzettii
Vaccinium hagerupii,Vaccinium × hagerupii
Adenophora lilifolia,Adenophora liliifolia
Erigeron acer,Erigeron acris
Hypochoeris glabra,Hypochaeris glabra
Rumex heterophyllus,Rumex × heterophyllus
Quercus streimii,Quercus × streimii
Quercus kerneri,Quercus × kerneri
Melampyrum trichocalycinum,Melampyrum trichocalicinum
Bellidiastrum michelii,Bellidastrum michelii
Kitaibela vitifolia,Kitaibelia vitifolia
Jurinea tzar-ferdinandii,Jurinea tzar-ferdinandi
Limonium gmelinii,Limonium gmelini
Campanula euxina,Silene euxina
Potentilla nicici,Potentilla nicicii
Arabis ferdinandi-coburgii,Arabis ferdinandi-coburgii
Onosma giganteum,Onosma gigantea
Centropodia forskalii,Centropodia forskaolii
Onosma caespitosum,Onosma caespitosa
Cynoglossum troodii,Mattiastrum lithospermifolium subsp. cariense
Achillea asplenifolia,Achillea aspleniifolia
Carex derelicta,Carex × derelicta
Diphasiastrum oellgaardii,Lycopodium × oellgaardii
Equisetum moorei,Equisetum × moorei
Pilosella fuscoatra,Pilosella × fuscoatra
Pilosella melinomelas,Pilosella × melinomelas
Pilosella polymastix,Pilosella × polymastix
Pilosella rubra,Pilosella × rubra
Potentilla psammophila,Potentilla psammophila
Rubus hadracanthos,Rubus hadracanthus
Salix elaeagnos,Salix glauca
Hieracium bakeranum,Hieracium bakerianum
Hieracium boswelli,Hieracium boswellii
Ligusticum scoticum,Ligusticum scothicum
Selinum carvifolia,Selinum carvifolium
Senecio eboracensis,Senecio × eboracensis
Ammocalamagrostis baltica,Calamagrostis × baltica
Dysphania bontei,Dysphania × bontei
Dactylorhiza kerneri,Dactylorhiza × kerneri nothosubsp. kerneri
Equisetum trachyodon,Equisetum × trachyodon
Kali turgida,Salsola kali
Thalictrum aquilegifolium,Thalictrum aquilegiifolium
Gagea pomeranica,Gagea × pomeranica
Hieracium ravaudii,Hieracium × ravaudii
Hieracium sauzei,Hieracium sauzei
Gagea luberonensis,Gagea × luberonensis
Gagea polidorii,Gagea × polidorii
Hieracium muellerianum,Hieracium muellerianum
Quercus crenata,Quercus × crenata
Sempervivum fauconnettii,Sempervivum × alatum
Viola orophila,Viola × uechtritziana
Erigeron droebachiensis,Erigeron acris subsp. droebachiensis
Pilosella aequimontis,Hieracium aequimontis
Pilosella arnoserioides,Pilosella arnoseroides
Pilosella chomatophila,Hieracium chomatophilum
Pilosella heterodoxa,Pilosella × heterodoxa
Pilosella promeces,Pilosella × promeces
Rubus christianseniorum,Rubus christiansenorum
Schoenoplectus carinatus,Schoenoplectus × carinatus
Schoenus scheuchzeri,Schoenus × scheuchzeri
Hippomarathrum montanum,Seseli montanum
Taraxacum delanghei,Taraxacum delanghii
Crocodylium pumilio,Crocodilium pumilio
Fritillaria spetsiotica,Fritillaria × spetsiotica
Lilium rhodopaeum,Lilium rhodopeum
Origanum lirium,Origanum × lirium
Tripleurospermum conoclinium,Tripleurospermum conoclinum
Viola oligyrtia,Viola oligyrtia
Adonis hybrida,Adonis × hybrida
Carex caespitosa,Carex cespitosa
Ceratocephalus testiculatus,Ceratocephalus testiculatus
Ophrys vetula,Ophrys × vetula nothosubsp. vetula
Ornithogalum degenianum,Ornithogalum × degenianum
Puccinellia pannonica,Puccinellia × pannonica
Sesleria heuflerana,Sesleria heufleriana
Gasparrinia peucedanoides,Seseli peucedanoides
Karpatiosorbus pseudosemiincisa,Karpatiosorbus pseudosemi-incisa
Karpatiosorbus semiincisa,Karpatiosorbus semi-incisa
Adelanthus lindbergianus,NA
Polygonum robertii,Polygonum robertii
Ranunculus revellierii,Ranunculus revelierei
Tormimalus florentina,Eriolobus florentinus
Anthriscus nitidus,Anthriscus nitida
Circaea intermedia,Circaea × intermedia
Hypericum aegyptiacum,Hypericum aegypticum
Piptatherum caerulescens,Piptatherum caerulescens
Ophrys flavicans,Ophrys × flavicans
Adonis wolgensis,Adonis wolgensis
Erysimum cheiri,Erysimum × cheiri
Rosa dumalis,Rosa × dumalis
Pilosella cochleatiformis,Pilosella cochlearis
Rubus lindleianus,Rubus lindleyanus
Cerastium blyttii,Cerastium × blyttii
Saxifraga opdalensis,Saxifraga opdalensis
Pilosella peteriana,Pilosella × peteriana
Taraxacum crocodes,Taraxacum crocodos
Eriophorum medium,Eriophorum × medium
