"species","no_countries","no_countries_threatened","percentage_threatened"
"Abies × borisii-regis",4,2,0.5
"Abies nebrodensis",1,1,1
"Acantholimon aegaeum",1,1,1
"Acantholimon albanicum",1,1,1
"Acer heldreichii",4,2,0.5
"Achillea abrotanoides",3,1,0.333333333333333
"Achillea ageratifolia",4,1,0.25
"Achillea alexandri-regis",1,1,1
"Achillea aspleniifolia",8,1,0.125
"Achillea chrysocoma",4,2,0.5
"Achillea clusiana",6,1,0.166666666666667
"Achillea fraasii",3,2,0.666666666666667
"Achillea holosericea",4,1,0.25
"Achillea lingulata",6,1,0.166666666666667
"Achillea × obscura",3,2,0.666666666666667
"Achillea occulta",1,1,1
"Achillea ochroleuca",6,3,0.5
"Achillea pindicola",2,1,0.5
"Achillea pseudopectinata",4,1,0.25
"Achillea × roseoalba",7,2,0.285714285714286
"Achillea thracica",2,2,1
"Achyrophorus rutea",1,1,1
"Acis fabrei",1,1,1
"Acis ionica",2,1,0.5
"Acis nicaeensis",2,2,1
"Acis valentina",1,1,1
"Aconitum degenii",4,1,0.25
"Aconitum firmum",4,2,0.5
"Aconitum lasiocarpum",4,2,0.5
"Aconitum plicatum",3,1,0.333333333333333
"Aconitum toxicum",2,1,0.5
"Aconitum variegatum",14,1,0.0714285714285714
"Actaea europaea",7,5,0.714285714285714
"Adenocarpus ombriosus",1,1,1
"Adonis distorta",1,1,1
"Aeonium aizoon",1,1,1
"Aeonium balsamiferum",1,1,1
"Aeonium cuneatum",2,1,0.5
"Aeonium dodrantale",1,1,1
"Aeonium gomerense",1,1,1
"Aeonium mascaense",1,1,1
"Aeonium saundersii",1,1,1
"Aeonium volkeri",1,1,1
"Aethionema carlsbergii",1,1,1
"Aethionema orbiculatum",1,1,1
"Aethionema retsina",1,1,1
"Agrostis alpina",11,2,0.181818181818182
"Agrostis barceloi",1,1,1
"Aichryson bituminosum",1,1,1
"Aichryson brevipetalum",1,1,1
"Aichryson porphyrogennetos",1,1,1
"Aichryson tortuosum",1,1,1
"Ajuga piskoi",3,2,0.666666666666667
"Alchemilla achtarowii",1,1,1
"Alchemilla albanica",1,1,1
"Alchemilla asteroantha",2,1,0.5
"Alchemilla austroitalica",1,1,1
"Alchemilla bandericensis",2,1,0.5
"Alchemilla catachnoa",3,2,0.666666666666667
"Alchemilla fissa",12,2,0.166666666666667
"Alchemilla fontqueri",1,1,1
"Alchemilla indivisa",3,1,0.333333333333333
"Alchemilla jumrukczalica",1,1,1
"Alchemilla kerneri",1,1,1
"Alchemilla lapeyrousii",3,1,0.333333333333333
"Alchemilla maureri",1,1,1
"Alchemilla oxyodonta",2,2,1
"Alchemilla pentaphyllea",5,1,0.2
"Alchemilla plicatula",4,1,0.25
"Alchemilla reniformis",11,1,0.0909090909090909
"Alchemilla semidivisa",1,1,1
"Alchemilla splendens",5,1,0.2
"Alchemilla suavis",2,1,0.5
"Alchemilla transiens",5,1,0.2
"Alkanna corcyrensis",2,1,0.5
"Alkanna jordanovii",1,1,1
"Alkanna lutea",4,2,0.5
"Alkanna sandwithii",2,1,0.5
"Alkanna sartoriana",1,1,1
"Alkanna scardica",2,1,0.5
"Alkanna stojanovii",1,1,1
"Allium agrigentinum",1,1,1
"Allium castellanense",1,1,1
"Allium corsicum",1,1,1
"Allium ericetorum",10,3,0.3
"Allium exaltatum",1,1,1
"Allium garganicum",1,1,1
"Allium hemisphaericum",1,1,1
"Allium julianum",1,1,1
"Allium lojaconoi",1,1,1
"Allium lopadusanum",1,1,1
"Allium lusitanicum",18,5,0.277777777777778
"Allium marathasicum",1,1,1
"Allium melitense",1,1,1
"Allium meteoricum",3,1,0.333333333333333
"Allium nebrodense",1,1,1
"Allium pendulinum",3,1,0.333333333333333
"Allium permixtum",1,1,1
"Allium platakisii",1,1,1
"Allium pruinatum",2,1,0.5
"Allium rouyi",1,1,1
"Allium runemarkii",1,1,1
"Allium samothracicum",1,1,1
"Allium schmitzii",2,2,1
"Allium suaveolens",9,5,0.555555555555556
"Althenia filiformis",3,1,0.333333333333333
"Alyssum akamasicum",1,1,1
"Alyssum flexicaule",1,1,1
"Alyssum fragillimum",1,1,1
"Alyssum gadorense",1,1,1
"Alyssum idaeum",1,1,1
"Alyssum lassiticum",1,1,1
"Alyssum loiseleurii",2,1,0.5
"Alyssum moellendorfianum",1,1,1
"Alyssum montanum",6,4,0.666666666666667
"Alyssum nevadense",1,1,1
"Alyssum orbelicum",1,1,1
"Alyssum ovirense",3,1,0.333333333333333
"Alyssum pulvinare",4,1,0.25
"Alyssum rhodanense",1,1,1
"Alyssum smolikanum",2,1,0.5
"Alyssum sphacioticum",1,1,1
"Alyssum tenium",1,1,1
"Alyssum wierzbickii",1,1,1
"Alyssum wulfenianum",2,1,0.5
"Amphoricarpos autariatus",1,1,1
"Amphoricarpos neumayerianus",1,1,1
"Anagyris latifolia",1,1,1
"Anarrhinum bellidifolium",4,1,0.25
"Anchusa crispa",2,2,1
"Anchusa littorea",2,1,0.5
"Anchusa puechii",2,2,1
"Anchusa samothracica",1,1,1
"Anchusa sardoa",2,1,0.5
"Androcymbium hierrense",1,1,1
"Androcymbium psammophilum",1,1,1
"Androsace adfinis",2,1,0.5
"Androsace brevis",2,1,0.5
"Androsace cylindrica",2,1,0.5
"Androsace halleri",2,1,0.5
"Androsace helvetica",6,1,0.166666666666667
"Androsace lactea",9,2,0.222222222222222
"Androsace mathildae",2,1,0.5
"Androsace obtusifolia",9,3,0.333333333333333
"Androsace rioxana",1,1,1
"Andryala laevitomentosa",1,1,1
"Andryala ragusina",3,2,0.666666666666667
"Antennaria carpatica",4,1,0.25
"Antennaria nordhageniana",2,2,1
"Anthemis aeolica",1,1,1
"Anthemis argyrophylla",1,1,1
