Species,Redlist_cat,Status,Criteria,Habitat
Acer campestre L.,LC,N,,FOR
Acer platanoides L.,LC,N,,FOR
Acer pseudoplatanus L.,LC,N,,FOR
Achillea millefolium L.,LC,N,,DRY
Achillea nobilis L.,CR,EA,B2b(iv),DRY
Achillea ptarmica L.,LC,N,,MAR
Acinos arvensis (Lam.) Dandy,VU,N,"B2b(iv,v)",DRY
Aconitum lycoctonum L. subsp. vulparia (Reichenb.) Nyman,VU,N,B1a+2b(v),FOR
Acorus calamus L.,LC,EA,,FRE
Actaea spicata L.,LC,N,,FOR
Adonis aestivalis L.,RE,N,,RUD
Adonis annua L.,RE,N,,RUD
Adonis flammea Jacq.,RE,N,,RUD
Adoxa moschatellina L.,LC,N,,FOR
Aegopodium podagraria L.,LC,N,,FOR
Aethusa cynapium L.,LC,N,,RUD
Agrimonia eupatoria L.,LC,N,,DRY
Agrimonia procera Wallr.,LC,N,,FOR
Agrostemma githago L.,RE,N,,RUD
Agrostis canina L.,NT,N,,MAR
Agrostis capillaris L.,LC,N,,DRY
Agrostis gigantea Roth,LC,N,,RUD
Agrostis stolonifera L.,LC,N,,MAR
Agrostis vinealis Schreb.,NT,N,,DRY
Aira caryophyllea L.,VU,N,"B1a+2b(iv,v)",DRY
Aira praecox L.,VU,N,"B1a+2b(iv,v)",DRY
Ajuga chamaepitys (L.) Schreb.,RE,N,,RUD
Ajuga genevensis L.,EN,N,"B2b(iii,iv)",DRY
Ajuga pyramidalis L.,EN,N,"B2b(iii,iv); C2a(i)",DRY
Ajuga reptans L.,LC,N,,MAR
Alchemilla filicaulis Buser,VU,N,B1a+2b(iv),DRY
Alchemilla glabra Neygenf.,LC,N,,MAR
Alchemilla monticola Opiz,R,N,,DRY
Alchemilla vulgaris L.,R,N,,DRY
Alchemilla xanthochlora Rothm.,LC,N,,DRY
Alisma lanceolatum With.,CR,N,C2a(i),AQU
Alisma plantago-aquatica L.,LC,N,,FRE
Alliaria petiolata (Bieb.) Cavara et Grande,LC,N,,FOR
Allium oleraceum L.,LC,N,,DRY
Allium rotundum L.,EN,N,B2b(iv); D1,RUD
Allium scorodoprasum L.,EN,N,C2a(ii),DRY
Allium ursinum L.,LC,N,,FOR
Allium vineale L.,LC,N,,DRY
Alnus glutinosa (L.) Gaertn.,LC,N,,MAR
Alopecurus aequalis Sobol.,VU,N,"B1a+2b(iv,v)",MAR
Alopecurus geniculatus L.,LC,N,,MAR
Alopecurus myosuroides Huds.,LC,N,,RUD
Alopecurus pratensis L.,LC,N,,GRA
Alopecurus rendlei Eig,NT,N,,MAR
Althaea hirsuta L.,CR,N,"B2b(iii,iv)",RUD
Althaea officinalis L.,R,N,,MAR
Alyssum alyssoides (L.) L.,NT,N,,ROC
Amaranthus retroflexus L.,LC,EA,,RUD
Amelanchier ovalis Med.,R,N,,ROC
Anacamptis pyramidalis (L.) L.C.M. Rich,VU,N,B2b(iv),DRY
Anagallis arvensis L.,LC,N,,RUD
Anagallis arvensis L. subsp. arvensis f. arvensis,LC,N,,RUD
Anagallis arvensis L. subsp. arvensis f. carnea (Schrank) Hyl.,LC,N,,RUD
Anagallis arvensis L. subsp. foemina (Mill.) Schinz et Thell.,VU,N,"B1a+2b(iv,v)",RUD
Anchusa arvensis (L.) Bieb.,LC,N,,RUD
Anemone nemorosa L.,LC,N,,FOR
Anemone ranunculoides L.,LC,N,,FOR
Anemone sylvestris L.,RE,N,,FOR
Angelica sylvestris L.,LC,N,,MAR
Antennaria dioica (L.) Gaertn.,RE,N,,DRY
Anthemis arvensis L.,LC,N,,RUD
Anthemis cotula L.,CR,N,"B1a+2b(iv,v)",RUD
Anthemis tinctoria L.,LC,N,,RUD
Anthericum liliago L.,VU,N,"B2b(iv,v)",ROC
Anthoxanthum odoratum L.,LC,N,,GRA
Anthriscus caucalis Bieb.,RE,EA,,RUD
Anthriscus sylvestris (L.) Hoffm.,LC,N,,GRA
Anthyllis vulneraria L.,LC,N,,DRY
Apera interrupta (L.) Beauv.,LC,EA,,RUD
Apera spica-venti (L.) Beauv.,LC,N,,RUD
Aphanes arvensis L.,LC,N,,RUD
Aphanes australis Rydb.,EN,N,"B2b(iii,v)",RUD
Apium nodiflorum (L.) Lag.,EN,N,B2b(iv),FRE
Aquilegia vulgaris L.,NT,N,,FOR
Arabidopsis thaliana (L.) Heynh.,LC,N,,RUD
Arabis glabra (L.) Bernh.,VU,N,"B2b(iv,v)",FOR
Arabis hirsuta (L.) Scop.,LC,N,,DRY
Arabis pauciflora (Grimm) Garcke,R,N,,FOR
Arctium lappa L.,LC,N,,RUD
Arctium minus (Hill) Bernh.,LC,N,,RUD
Arctium nemorosum Lej.,LC,N,,FOR
Arctium tomentosum Mill.,VU,N,B2b(iv),RUD
Arenaria serpyllifolia L.,LC,N,,ROC
Aristolochia clematitis L.,EN,N,"B2b(iii,iv)",FOR
Arnica montana L.,CR,N,B1a+2b(v); D1,DRY
Arnoseris minima (L.) Schweigg. et Körte,RE,N,,RUD
Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl,LC,N,,GRA
Artemisia absinthium L.,NT,N,,RUD
Artemisia vulgaris L.,LC,N,,RUD
Arum maculatum L.,LC,N,,FOR
Asarum europaeum L.,EN,N,C2a(ii); D1,FOR
Asparagus officinalis L.,LC,EA,,RUD
