Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/102951;Rheum rhaponticum;munkerabarbra;RE;"""";102951;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/101577;Spergula arvensis maxima;storbendel;RE;"""";101577;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/102472;Rhinanthus angustifolius apterus;åkerkall;RE;"""";102472;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/102230;Sherardia arvensis;blåmaure;RE;"""";102230;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/99396;Anthericum ramosum;småsandlilje;RE;"""";99396;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/101192;Draba corymbosa;puterublom;RE;"""";101192;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/102190;Gentianella campestris baltica;østersjøsøte;RE;"""";102190;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/101746;Valeriana dioica;småvendelrot;RE;"""";101746;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/100624;Pilosella cochleatiforme;skjesveve;RE;"""";146018;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/99526;Liparis loeselii;fettblad;RE;"""";99526;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/102169;Vincetoxicum hirundinaria;svalerot;RE;"""";102169;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/103657;Saxifraga hirculus compacta;polarmyrsildre;RE;"""";103657;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/100126;Phleum arenarium;sandtimotei;CR;""B1a(ii)c(iv)+2a(ii)c(iv)"";100126;N;Karplanter;;Ky,,,,,,,,,,,,";;;;;;;;;
"N/102988;Rumex sanguineus;skoghøymol;CR;""B1a(ii)b(iv,v)+2a(ii)b(iv,""v)";" D1""""";102988;N;Karplanter;Ukjent;"S"",,,,,,,,,,";;;
"N/100992;Buglossoides arvensis;åkersteinfrø;CR;""C2a(ii); D1"";100992;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Endrede frøblandinger | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Menneskelig forstyrrelse > Rekreasjon/turisme;B | SM,,,,,,,,,,,,";;;;;;;;;
"N/100573;Eurybia sibirica;;CR;""B1a(ii)b(v)+2a(ii)b(v)"";100573;N;Karplanter;Høsting > Flora-/faunakriminalitet | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag;Fl,,,,,,,,,,,,";;;;;;;;;
"N/99892;Anisantha sterilis;sandfaks;CR;""B1b(iii,""v)c(iv)""""";99892;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | SM"",,,,,,,,,,,";;;;
"N/103489;Sorbus lancifolia;smalasal;CR;""C1"";103489;N;Karplanter;Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Plukkhogst, tynning, vedhogst | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite";S,,,,,,,,,,;;;;;;;;
