Species,IUCN
Achillea aspleniifolia Vent.,CR
Achillea crithmifolia Waldst. et Kit.,DD
Achillea ochroleuca Ehrh.,CR
Achillea ptarmica L.,NT
Achillea setacea Waldst. et Kit.,DD
Aconitum anthora L.,NT
"Aconitum degenii Gáyer subsp. degenii (syn. A. paniculatumLam., nom. illeg.)",DD
Aconitum firmum Rchb. subsp. firmum,LC
Aconitum firmum subsp. maninense (Skalický) Starm.,DD
Aconitum firmum subsp. moravicum Skalický,LC
"Aconitum lasiocarpum (Rchb.) Gáyer subsp. kotulae (Pawl.)Starm. et Mitka",DD
Aconitum lasiocarpum subsp. lasiocarpum,VU
Aconitum moldavicum Hacq.,LC
Adenophora liliifolia (L.) Ledeb. ex A. DC.,VU
Adonis aestivalis L.,LC
Adonis flammea Jacq.,CR
Adonis vernalis L.,NT
Aegilops cylindrica Host,VU
Aethionema saxatile (L.) W. T. Aiton,EN
Agropyron pectinatum (M. Bieb.) P. Beauv.,NT
Agrostemma githago L.,CR
Agrostis vinealis Schreb.,DD
Aira caryophyllea L.,DD
Aira elegantissima Schur,DD
Ajuga pyramidalis L.,CR
Alcea biennis Winterl. (syn. Althaea pallida Willd.),NT
Aldrovanda vesiculosa L.,RE
Alisma gramineum Lej.,EN
Alkanna tinctoria (L.) Tausch,CR
Allium angulosum L.,NT
Allium atropurpureum Waldst. et Kit.,DD
Allium atroviolaceum Boiss.,NT
Allium carinatum L.,NT
Allium cirrhosum Vand.,RE
"Allium ericetorum Thore (syn. A. zahariadi  subsp. michalkoiMájovský)",CR
Allium paniculatum L. subsp. paniculatum,CR
Allium rotundum L.,NT
Allium schoenoprasum subsp. alpinum (DC.) Čelak.,LC
Allium sphaerocephalon L.,NT
Allium strictum Schrad.,CR
Althaea cannabina L.,EN
Althaea hirsuta L.,EN
Althaea taurinensis DC.,CR
Alyssum desertorum Stapf,EN
"Alyssum gmelinii Jord. et Fourr. (syn. A. montanum subsp.gmelinii (Jord. et Fourr.) Thell., A. montanum subsp. brymiiDostál)",LC
Alyssum tortuosum Waldst. et Kit. subsp. tortuosum,CR
Alyssum tortuosum subsp. heterophyllum Nyár.,EN
Amaranthus graecizans subsp. sylvestris (Vill.) Brenan,CR(PE)
Amelanchier ovalis Medik.,LC
"Anacamptis coriophora (L.) R. M. Bateman, Pridgeon et M.W. Chase (syn. Orchis coriophora L.)",EN
"Anacamptis morio (L.) R. M. Bateman, Pridgeon et M. W.Chase (syn. Orchis morio L.)",NT
"Anacamptis palustris (Jacq.) R. M. Bateman, Pridgeon et M.W. Chase  subsp. subsp. palustris (syn. Orchis palustris Jacq.)",CR
"Anacamptis palustris subsp. elegans (Heuff.) R. M. Bateman,Pridgeon et M. W. Chase (syn. Orchis elegans Heuff.)",EN
Anacamptis pyramidalis (L.) Rich.,VU
Anchusa barrelieri (All.) Vitman,RE
Anchusa italica Retz. (syn. A. azurea Mill.),EN
Andromeda polifolia L.,EN
Androsace elongata L.,NT
Androsace maxima L.,CR
Androsace obtusifolia All.,LC
Androsace septentrionalis L.,RE
Androsace villosa L.,EN
Anemone sylvestris L.,NT
"Antennaria carpatica (Wahlenb.) Bluff et Fingerh. subsp.carpatica",LC
Anthemis cotula L.,DD
Apera interrupta (L.) P. Beauv.,CR
Aphanes arvensis L.,EN
"Aphanes australis Rydb. (syn. A. microcarpa auct. non (Boiss.et Reut.) Rothm.)",RE
Apium repens (Jacq.) Lag.,VU
Aquilegia vulgaris L. subsp. vulgaris,LC
Aquilegia vulgaris subsp. nigricans (Baumg.) Domin,DD
"Arabidopsis halleri (L.) O’Kane et Al-Shehbaz subsp. halleri(syn. Cardaminopsis halleri (L.) Hayek subsp. halleri)",NT
"Arabidopsis neglecta (Schult.) O’Kane et Al-Shehbaz (syn.Cardaminopsis neglecta (Schult.) Hayek)",LC
Arabis hornungiana Schur,NT
Arabis nemorensis (Wolf ex Hoffm.) W. D. J. Koch,EN
Arabis nova Vill.,CR
Arabis pauciflora (Grimm) Garcke,EN
Arabis procurrens Waldst. et Kit.,RE
Arabis sudetica Tausch,NT
