Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
5;naverlönn;Acer campestre;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;CR;D
6;äkta stormhatt;Aconitum napellus;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;CR;D
8;röd trolldruva;Actaea erythrocarpa;kärlväxt;Art;0;Skog (S) - Stor betydelse;NT;B2ab(ii,iii,v)
9;våradonis;Adonis vernalis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;NT;B2a
222776;desmeknopp;Adoxa moschatellina;kärlväxt;Art;0;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;A2bc+4abc
14;klätt;Agrostemma githago;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(i,ii,iii,iv,v)c(iv)
16;vittåtel;Aira caryophyllea;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii,iv)
17;kritsuga;Ajuga genevensis;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;CR;B1ab(i,iii,v)+2ab(i,iii,v)
1848;norddaggkåpa;Alchemilla borealis;kärlväxt;Art;0;Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse;NT;B2a
20;sjuhörnig daggkåpa;Alchemilla heptagona;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;VU;B2ab(i,ii,iii,iv,v)
22;skarptandad daggkåpa;Alchemilla oxyodonta;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
222954;trubbdaggkåpa;Alchemilla plicata;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;A2bc
21;stubbdaggkåpa;Alchemilla samuelssonii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
1849;tärnadaggkåpa;Alchemilla taernaensis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;NT;"B1a+2a; D1"
24;kustdaggkåpa;Alchemilla xanthochlora;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;VU;B2ab(ii,iii,iv,v)
28;grässvalting;Alisma gramineum;kärlväxt;Art;0;Sötvatten (L) - Stor betydelse;RE;
30;småsvalting;Alisma wahlenbergii;kärlväxt;Art;0;Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse;NT;B2a
31;rosenlök;Allium carinatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse;NT;B2a
32;klipplök;Allium lineare;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;EN;B1ab(iii,v)
1850;kantlök;Allium lusitanicum;kärlväxt;Art;0;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(ii,iii,v)+2ab(ii,iii,v)
1851;fjällkavle;Alopecurus pratensis subsp. alpestris;kärlväxt;Underart;0;Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse;NT;B1ab(ii,iii,v)+2ab(ii,iii,v)
1852;grådådra;Alyssum alyssoides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2ab(ii,iii,v)
1718;kärrnycklar;Anacamptis palustris;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;C1
1854;grönkattfot;Antennaria alpina subsp. porsildii;kärlväxt;Underart;0;Fjäll (F) - Stor betydelse;NT;B2a
1855;åkerkulla;Anthemis arvensis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;A2bc
60;kamomillkulla;Anthemis cotula;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;"A2b; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)"
61;stor sandlilja;Anthericum liliago;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;B2ab(iii,v)
62;taggkörvel;Anthriscus caucalis;kärlväxt;Art;0;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(i,ii,iii,iv,v)c(iv)
1856;alvarkösa;Apera interrupta;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;NT;"B2a; D1"
222223;kösa;Apera spica-venti;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;A2b
1707;småjungfrukam;Aphanes australis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;A2b
78;selleri;Apium graveolens;kärlväxt;Art;0;Havsstrand (H) - Stor betydelse, Urban miljö (U) - Har betydelse;CR;D
81;gotlandstrav;Arabis planisiliqua;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B1ab(v)+2ab(v)
83;hänggräs;Arctophila fulva;kärlväxt;Art;0;Havsstrand (H) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); D2"
